01_AAV,02_VPA,03_LLSD,04_AASD,05_LASD,06_LNC,07_SDLC,08_SNC,09_LLB,10_LBI,11_SDLI,12_SBI,13_ENS,14_AFC,15_PF,16_SPF,17_SLPW,18_SLPE,19_RBI,20_RNC,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma,_cell_length_a,_cell_length_b,_cell_length_c,Vcell,space_group_num,RadofGyration,arrange_density,avg_radius_Li_nonLi,avg_radius_frame_anions_all_atoms,EO,Li_C,avg_anion_charge,avg_cation_charge,avg_nonLi_charge,avg_frame_anion_charge,avg_charge,avg_anion_electronegativity,avg_cation_electronegativity,avg_fram_anion_electronegativity,avg_electronegativity,avg_anion_radius2,avg_cantion_radius2,avg_fram_anion_radius2,avg_nonLi_radius2,avg_radius2,bvse_3
12.76,22.83,1.52,3.17,1.92,21.73,3.62,19.3,5.39,1.61,1.13,1.03,2.92,10.88,0.64,0.49,0.82,1.18,1.56,1.13,90,90,90,12.95,12.95,12.95,2169.23,230,12.56,2.72,0.33,0.13,0.44,0.02,2,3,3.33,-1,1.94,3.44,1.19,3.44,2.38,1.24,0.93,1.24,1.24,1.11,0.8301
12.49,22.89,1.68,3.18,1.83,21.86,3.25,19.24,5.33,1.58,1.11,1,2.89,11,0.64,0.48,0.67,1.65,1.58,1.14,90,90,90,13,13,13,2197.51,230,12.56,3.24,0.31,0.14,0.38,0.02,2,3,3.33,-1,2.1,3.44,1.19,3.44,2.38,1.25,0.86,1.25,1.2,1.07,0.6934
12.4,22.87,2.14,3.03,1.93,22.66,2.35,20.39,5.33,1.56,1.11,0.97,2.89,9,0.66,0.48,0.45,1.35,1.6,1.11,90,90,90,13,13,13,2195.61,230,12.54,3.25,0.3,0.13,0.28,0.02,2,3,3.33,-1,2.1,3.44,1.19,3.44,2.37,1.25,0.87,1.25,1.2,1.08,0.6641
11.81,21.77,1.77,2.99,1.88,23.41,4.59,20.8,4.98,1.67,1.04,1.01,2.96,9,0.61,0.44,0.89,1.73,1.66,1.13,90,90,90,12.79,12.79,12.79,2090.25,230,12.17,2.96,0.31,0.14,0.41,0.02,2,3,3.33,-1,2.1,3.44,1.38,3.44,2.42,1.25,0.85,1.25,1.19,1.07,0.8203
11.64,21.46,1.86,3.11,1.87,23.6,4.72,21.52,5.24,1.58,1.1,1.09,2.89,11,0.69,0.51,0.65,1.71,1.45,1.1,90,90,90,12.72,12.72,12.72,2060.5,230,12.15,3.46,0.3,0.16,0.33,0.02,2,3,3.33,-1,2.1,3.44,1.19,3.44,2.37,1.25,0.86,1.25,1.19,1.07,1.2012
11.6,21.38,2.08,3.11,1.94,23.66,3.72,22.25,5.35,1.61,1.1,1.07,2.89,11,0.69,0.51,0.78,1.71,1.51,1.06,90,90,90,12.71,12.71,12.71,2052.63,230,12.23,3.47,0.31,0.15,0.29,0.02,2,3,3.33,-1,2.1,3.44,1.19,3.44,2.37,1.25,0.87,1.25,1.2,1.08,0.9375
12.15,22.15,1.92,3.15,1.79,22.62,4.29,19.94,5.08,1.6,1.12,1.03,2.89,11,0.7,0.53,0.65,1.47,1.55,1.13,90,90,90,12.86,12.86,12.86,2126.76,230,12.44,2.79,0.32,0.13,0.44,0.02,2,3,3.33,-1,2.01,3.44,1.23,3.44,2.37,1.25,0.91,1.25,1.22,1.09,0.8105
12.1,22.55,1.7,3.15,1.75,24.03,4.9,21.63,5.17,1.54,1.13,1.07,2.84,11,0.73,0.57,0.73,2.45,1.43,1.11,90,90,90,12.94,12.94,12.94,2165.21,230,12.36,3.4,0.31,0.15,0.41,0.02,2,3,3.33,-1,2.07,3.44,1.19,3.44,2.35,1.25,0.91,1.25,1.22,1.09,1.5234
11.93,22,1.51,3.14,1.86,22.87,4.45,19.81,5.11,1.6,1.09,1.03,2.9,11,0.64,0.48,1.01,1.78,1.56,1.15,90,90,90,12.83,12.83,12.83,2112.32,230,12.34,2.71,0.31,0.14,0.34,0.02,2,3,3.33,-1,2.1,3.44,1.23,3.44,2.38,1.25,0.86,1.25,1.2,1.07,0.9277
9.31,22.5,1.43,1.24,1.85,26,1.8,29.26,7.2,1.27,1.16,1.13,2.62,1.67,0.78,0.63,0.28,1.06,1.13,0.89,90,90,90,13.12,13.12,12.55,2159.92,142,12.19,4.5,0.31,0.14,0,0.04,2,2.67,3,-1,1.93,3.44,1.35,3.44,2.06,1.21,0.88,1.21,1.17,1.02,7.2461
9.07,21.92,1.3,1.85,2.02,26.4,1.21,27.79,7.6,1.24,1.17,1.2,2.6,3,0.73,0.65,0,1.08,1.04,0.95,90,90,90,12.95,12.95,12.55,2103.93,142,12.12,4.63,0.29,0.17,0,0.04,2,2.67,3,-1,1.93,3.44,1.15,3.44,2.04,1.21,0.87,1.21,1.16,1.01,6.3477
9.52,19.04,2.92,2.92,2.11,30,0,27.33,4,1.61,0.6,0.8,2.76,10,0.44,0.21,0.81,3.04,2.02,1.1,117.98,117.98,90,4.57,4.57,4.87,76.17,1,3.15,1.73,0.41,0.29,0,0.03,3,3,4,-1,3,3.04,1.59,3.04,2.31,1.32,0.52,1.32,0.98,0.92,0.9863
8.66,25.98,2.26,3.35,2.02,32.86,1.2,32,18,1.17,0.95,1.26,2.87,12,0.68,0.11,0.88,1.64,0.93,1.03,90,90,90,9.4,9.4,9.4,831.21,1,8.56,1.31,0.41,0.28,0,0.07,3,3,4,-1,2,3.04,1.59,3.04,1.77,1.32,0.68,1.32,1.12,0.89,1.748
12.9,41.94,2.45,5.52,2.39,19.33,2,21.5,15.11,0.61,0.82,0.88,2.7,6,0.56,0.09,0.89,2.81,0.69,0.9,90,90,90,5.52,5.52,5.52,167.75,221,4.87,1.03,0.72,0.4,0,0.05,2.5,1,2.5,-1,1.39,2.81,0.98,3.04,1.51,1.61,0.73,1.32,1.61,1,1.9141
9.53,28.59,2.51,3.37,2.04,24.67,0.98,28,11.33,1.22,0.89,1.04,2.71,9,0.55,0.09,0.47,1.32,1.17,0.88,90,90,111.95,5.15,6.75,7.1,228.76,1,5.87,1.04,0.44,0.33,0,0.05,3,2,3,-1,2,3.04,1.51,3.04,1.84,1.32,0.59,1.32,0.93,0.83,1.2012
8.99,26.97,2.28,3.38,2.07,33,0,34,15,1.12,0.92,1.12,2.56,12,0.67,0.19,0.82,0.98,1,0.97,109.47,109.47,109.47,8.25,8.25,8.25,431.49,1,5.7,1.41,0.35,0.31,0,0.06,3,2,3,-1,2,3.04,1.3,3.04,1.77,1.32,0.68,1.32,1.06,0.89,1.7578
9.92,19.84,2.95,3.1,2.08,26,0,27.2,2,1.52,0.64,0.78,2.58,12.67,0.42,0.27,0.79,3.04,1.94,0.96,119.88,90,90,4.81,5.33,5.35,119.04,1,4.06,1.77,0.4,0.36,0,0.02,3,2.5,3.5,-1,3,3.04,1.44,3.04,2.32,1.32,0.51,1.32,0.95,0.92,14.375
9.39,23.48,2.43,3.16,2.06,25.88,1.37,27,9.25,1.26,0.83,0.95,2.66,10.38,0.56,0.19,0.71,1.78,1.33,0.96,90,90,90,9.97,9.98,15.1,1502.68,1,11.93,1.49,0.4,0.31,0,0.04,3,2.5,3.5,-1,2.4,3.04,1.44,3.04,1.99,1.32,0.62,1.32,1.01,0.9,1.748
8.79,26.36,2.25,3.35,2,31.94,1.87,33.05,16.32,1.17,0.93,1.19,2.75,11.77,0.67,0.13,0.68,1.37,0.98,0.97,109.52,109.26,109.28,8.16,8.17,24.54,1265.42,1,12.88,1.33,0.41,0.3,0,0.06,3,2.5,3.5,-1,2,3.04,1.44,3.04,1.77,1.32,0.68,1.32,1.09,0.89,2.3535
17.87,44.68,1.69,6.32,1.97,15.22,1.68,17,9.22,1.13,0.99,1.07,2.98,12,0.39,0.13,0.9,2.32,1.05,0.9,90,90,90,8.94,8.94,8.94,714.95,225,7.93,1.65,0.84,0.47,0.19,0.03,2,1,2,-1,1.2,3,0.98,3.04,1.78,1.69,0.73,1.32,1.69,1.12,2.5781
18.94,47.34,2.21,5.84,1.92,11.36,1.22,6,7.36,1.04,1,2,2.98,4,0.39,0.12,0.86,3.04,0.52,1.89,90,90,90,5.84,5.84,11.09,378.75,139,7.23,1.56,0.8,0.42,0.06,0.03,2,1,2,-1,1.2,3,0.98,3.04,1.78,1.69,0.73,1.32,1.69,1.12,5.3223
18.73,46.83,2.62,5.77,1.95,13.33,0.95,11.5,9.33,0.92,1,1.06,2.98,4,0.4,0.12,0.63,2.74,0.87,1.16,90,90,90,11.5,11.58,22.5,2997.04,73,15.41,1.58,0.8,0.46,0,0.03,2,1,2,-1,1.2,3,0.98,3.04,1.78,1.7,0.73,1.32,1.7,1.12,4.3945
17.67,44.18,2.59,6.3,1.93,16,0.85,17,10,1.09,0.99,1.07,2.98,12,0.43,0.13,0.53,2.52,1.01,0.94,90,90.17,90,6.27,6.3,8.96,353.44,14,6.82,1.67,0.84,0.47,0,0.03,2,1,2,-1,1.2,3,0.98,3.04,1.78,1.7,0.73,1.32,1.7,1.12,3.0371
13.35,33.36,2.87,4.06,2.03,14,0,17,8,1.28,1.07,1.36,3.2,6,0.52,0.13,0.52,2.62,0.94,0.82,90,90,90,4.06,4.06,4.06,66.73,221,2.22,1.75,0.73,0.47,0,0.05,1.5,1,1.5,-1,1.2,3.2,0.98,3.44,1.87,1.54,0.73,1.26,1.54,1.05,1.6797
11.96,29.89,2.76,3.91,1.96,20,0,23,14,1.05,1.14,0.99,3.3,6,0.54,0.09,0.48,2.62,1.06,0.87,90,90,90,3.91,3.91,3.91,59.78,221,2.14,1.21,0.63,0.27,0,0.05,1.5,1,1.5,-1,1.2,3.3,0.98,3.44,1.91,1.47,0.73,1.26,1.47,1.02,1.4453
17,34.01,3.64,3.64,2.57,18,0,18,12,1.09,1.1,0.73,3.16,12,0.39,0.13,0.8,3.16,1.5,1,90,90,90,5.14,5.14,5.14,136.04,225,3.15,1.25,0.77,0.26,0,0.03,1,1,1,-1,1,3.16,0.98,3.16,2.07,1.67,0.9,1.67,1.67,1.29,1.143
23.86,41.76,3.88,3.89,2.75,14,0,16.4,4,1.18,0.83,0.55,2.68,12,0.34,0.24,0.75,2.96,2.14,0.85,90,90,90,7.78,11.07,3.88,334.1,65,6.68,2.33,0.61,0.27,0,0.01,1,1.5,1.5,-1,1.14,2.96,1.27,2.96,2.19,1.82,0.87,1.82,1.62,1.41,0.977
29.56,44.34,3.98,3.97,2.85,11.9,1.46,12,2.88,1.3,0.81,0.51,2.68,12,0.28,0.23,0.84,2.94,2.56,0.99,90,90,90,11.24,11.24,11.24,1418.97,227,10.75,2.15,0.67,0.25,0.38,0.01,1,1.5,1.5,-1,1.17,2.96,1.27,2.96,2.4,1.82,0.86,1.82,1.62,1.5,0.83
23.91,41.84,3.88,3.9,2.72,14,0,14.4,4,1.18,0.82,0.63,2.68,12,0.35,0.24,0.75,2.96,1.88,0.97,90,90,90,7.77,7.78,11.07,669.42,74,8.34,2.32,0.61,0.31,0,0.01,1,1.5,1.5,-1,1.14,2.96,1.27,2.96,2.19,1.82,0.87,1.82,1.62,1.41,0.977
22.06,41.37,3.88,3.88,2.74,16,0,17.33,8,1.05,0.94,0.61,2.78,12,0.37,0.21,0.74,2.96,1.72,0.92,90,90,90,10.98,10.98,10.98,1323.75,225,9.02,2.13,0.7,0.28,0,0.02,1,1.5,1.5,-1,1.07,2.96,1.15,2.96,2.06,1.82,0.89,1.82,1.71,1.39,1.064
23.72,41.51,3.87,3.89,2.74,14,0,16,4,1.1,0.89,0.58,2.63,12,0.35,0.24,0.75,2.96,1.9,0.88,90,90,90,7.78,11.04,3.87,332.06,65,6.67,2.16,0.57,0.26,0,0.01,1,1.5,1.5,-1,1.14,2.96,1.15,2.96,2.16,1.82,0.89,1.82,1.63,1.42,0.977
29.63,44.44,3.98,3.98,2.85,11.6,1.46,11.95,2.58,1.25,0.87,0.55,2.63,12,0.28,0.23,0.85,2.96,2.29,0.97,90,90,90,11.24,11.24,11.24,1422.12,227,10.75,1.97,0.63,0.23,0.38,0.01,1,1.5,1.5,-1,1.17,2.96,1.14,2.96,2.35,1.82,0.88,1.82,1.63,1.51,0.83
19.93,47.45,2.2,3.86,2.37,13.58,1.76,12.11,6.59,1.01,0.71,0.9,2.52,10.86,0.33,0.12,0.57,1.68,1.12,1.12,90,90,90,9.99,9.99,9.99,996.4,216,9.61,0.97,0.68,0.5,0.43,0.02,2,3,3.5,-1,1.74,2.58,1.58,2.58,1.75,1.7,0.67,1.7,1.48,1.1,1.182
17.42,39.93,2.12,6.97,2.59,14.01,1.38,12.29,6.01,1.15,0.74,1.03,2.61,12,0.38,0.14,0.91,2.12,1.12,1.14,90,90,90,9.86,9.86,9.86,958.29,216,9.49,1.14,0.69,0.77,0.09,0.03,1.5,3,2.67,-1,1.66,2.87,1.58,3.16,1.81,1.69,0.68,1.67,1.5,1.12,0.625
10.98,23.8,2.72,2.33,1.83,22,0,22.57,9,1.63,1.04,1.31,3.19,4,0.49,0.13,0.47,3.03,1.25,0.97,90,90,90,10.9,6.25,5.16,351.29,216,7.95,1.17,0.67,0.48,0.41,0.04,2,0.72,3.5,1.19,1.24,3.44,1.63,0.98,3.5,3,-1,0.19,1.47,1.1,2.393
10.98,23.8,2.73,2.33,1.83,22,0,22.57,9,1.63,1.04,1.31,3.19,4,0.49,0.13,0.5,3.13,1.25,0.97,90,90,90,10.9,6.25,5.16,351.29,216,7.95,1.17,0.67,0.48,0.41,0.04,2,0.72,3.5,1.19,1.24,3.44,1.63,0.98,3.5,3,-1,0.19,1.47,1.1,2.393
10.69,23.17,2.73,2.32,1.82,22,0,22.57,9,1.65,1.05,1.28,3.22,4,0.49,0.11,0.4,2.82,1.29,0.97,90,90,90,8.22,8.22,8.22,556.1,216,7.78,1.35,0.43,0.29,0,0.04,1.5,3,2.67,-1,1.69,3.3,1.59,3.44,2.19,1.32,0.67,1.24,1.17,0.97,1.523
20.08,43.5,2.23,7.17,3.17,13.61,1.44,11.21,5.86,1.1,0.69,0.94,2.54,12,0.34,0.16,0.79,2.23,1.17,1.21,90,90,90,10.14,10.14,10.14,1044.07,216,9.58,1.38,0.75,1.16,0.23,0.02,1.5,3,2.67,-1,1.69,2.62,1.58,2.66,1.82,1.76,0.67,2.06,1.55,1.17,0.82
19.98,47.95,2.21,3.77,2.48,12.29,1.49,12.32,5.3,1.08,0.68,0.89,2.51,10,0.34,0.12,1.15,2.17,1.22,1,90,90,90,9.861,9.861,9.861,958.994,216,9.57568,0.971,0.68013,0.49549,0.357,0.025,2,3,3.5,-1,1.75,2.58,1.585,2.58,1.747,1.7,0.67,1.7,1.468,1.099,0.547
20.32,47.41,2.24,3.85,2.38,13.36,1.67,11.87,6.33,1.03,0.7,0.89,2.52,10.67,0.33,0.12,0.89,2.36,1.16,1.13,90,90,90,9.985,9.985,9.985,995.507,216,9.53115,0.968,0.68049,0.49605,0.43,0.024,2,3,3.5,-1,1.755,2.58,1.585,2.58,1.764,1.7,0.67,1.7,1.478,1.111,1.133
21.1,50.88,2.07,3.82,2.38,13.11,2,12.06,6.46,1,0.71,0.87,2.51,9.75,0.31,0.12,0.95,1.99,1.15,1.09,90,90,90,10.034,10.034,10.034,1010.114,216,9.71951,0.90929,0.67235,0.48138,0.541,0.024,2,3,3.5,-1,1.74795,2.58,1.585,2.58,1.74003,1.7,0.67,1.7,1.4639,1.09367,1.26
20.67,46.98,2.12,3.94,2.36,12.87,1.46,11.6,5.63,1.07,0.69,0.9,2.52,11.64,0.31,0.12,0.68,2.07,1.19,1.11,90,90,90,10.111,10.111,10.111,1033.61,216,9.75702,0.963,0.68408,0.50308,0.541,0.023,2,3,3.5,-1,1.76,2.58,1.585,2.58,1.781,1.7,0.67,1.7,1.486,1.123,1.436
23.67,48.37,2.31,4.07,2.55,12.43,1.44,10.48,4.68,1.13,0.64,0.85,2.5,12.52,0.32,0.17,0.92,2.21,1.34,1.19,90,90,90,10.36,10.36,10.36,1112.58,216,9.8,1.87,0.8,0.57,0.37,0.02,2,3,3.5,-1,1.83,2.55,1.58,2.55,1.85,1.84,0.66,1.84,1.61,1.24,0.986
19.93,47.45,2.34,3.86,2.37,13.53,1.51,12.11,6.54,1.01,0.71,0.9,2.52,10.86,0.34,0.12,0.9,2.14,1.13,1.12,90,90,90,9.99,9.99,9.99,996.4,216,9.61,0.97,0.68,0.5,0.43,0.02,2,3,3.5,-1,1.74,2.58,1.58,2.58,1.75,1.7,0.67,1.7,1.48,1.1,1.182
25.45,55.76,2.4,4.07,2.49,9.41,1.56,9.56,4.12,1.03,0.66,0.71,2.49,10.67,0.3,0.15,0.69,2.12,1.45,0.98,90,90,90,10.54,10.54,10.54,1170.9,216,10.36,1.65,0.73,0.48,0.36,0.02,2,3,3.5,-1,1.8,2.55,1.58,2.55,1.8,1.84,0.66,1.84,1.59,1.2,0.713
20.67,46.98,2.28,3.94,2.36,12.85,1.53,11.61,5.6,1.08,0.69,0.9,2.52,11.64,0.32,0.12,0.61,1.83,1.2,1.11,90,90,90,10.111,10.111,10.111,1033.61,216,9.75702,0.963,0.68408,0.50308,0.541,0.023,2,3,3.5,-1,1.76,2.58,1.585,2.58,1.781,1.7,0.67,1.7,1.486,1.123,1.436
21.19,51.38,1.97,3.81,2.38,12.83,1.53,12.12,6.21,1.01,0.71,0.86,2.51,9.55,0.3,0.12,0.97,1.86,1.17,1.06,90,90,90,10.03,10.03,10.03,1010.11,216,9.72,0.91,0.67,0.48,0.54,0.02,2,3,3.5,-1,1.75,2.58,1.58,2.58,1.74,1.7,0.67,1.7,1.47,1.1,1.26
19.72,44.81,2.07,3.88,2.45,13.11,1.63,11.85,5.61,1.09,0.68,0.91,2.52,11.73,0.33,0.13,0.9,2.1,1.19,1.11,90,90,90,9.95,9.95,9.95,985.88,216,9.21,1.01,0.69,0.51,0.5,0.02,2,3,3.5,-1,1.76,2.58,1.58,2.58,1.78,1.7,0.67,1.7,1.49,1.12,0.869
19.71,44.8,2.15,3.88,2.45,12.95,1.65,11.84,5.46,1.1,0.68,0.91,2.52,11.73,0.33,0.13,0.61,1.81,1.2,1.09,90,90,90,9.95,9.95,9.95,985.67,216,9.5,1.01,0.69,0.51,0.5,0.02,2,3,3.5,-1,1.76,2.58,1.58,2.58,1.78,1.7,0.67,1.7,1.49,1.12,0.869
20.08,43.5,1.83,7.17,3.17,13.74,1.64,11.21,5.99,1.09,0.7,0.94,2.54,12,0.33,0.16,0.69,2.03,1.17,1.23,90,90,90,10.14,10.14,10.14,1044.07,216,9.58,1.38,0.75,1.16,0.23,0.02,1.5,3,2.67,-1,1.69,2.62,1.58,2.66,1.82,1.76,0.67,2.06,1.55,1.17,0.82
20.08,43.5,2.3,7.17,3.17,13.57,1.4,11.21,5.82,1.1,0.69,0.94,2.54,12,0.34,0.16,0.77,2.22,1.18,1.21,90,90,90,10.14,10.14,10.14,1044.07,216,9.58,1.38,0.75,1.16,0.23,0.02,1.5,3,2.67,-1,1.69,2.62,1.58,2.66,1.82,1.76,0.67,2.06,1.55,1.17,0.82
19.93,47.45,2.21,3.86,2.38,13.7,1.84,12.12,6.7,1.01,0.71,0.9,2.52,10.86,0.33,0.12,0.73,1.93,1.12,1.13,90,90,90,9.99,9.99,9.99,996.4,216,9.61,0.97,0.68,0.5,0.43,0.02,2,3,3.5,-1,1.74,2.58,1.58,2.58,1.75,1.7,0.67,1.7,1.48,1.1,1.182
17.42,39.93,2.11,6.97,2.59,14.12,1.52,12.29,6.12,1.14,0.74,1.03,2.61,12,0.38,0.14,0.91,2.08,1.11,1.15,90,90,90,9.86,9.86,9.86,958.29,216,9.49,1.14,0.69,0.77,0.09,0.03,1.5,3,2.67,-1,1.66,2.87,1.58,3.16,1.81,1.69,0.68,1.67,1.5,1.12,0.625
20.08,43.5,2.26,7.17,3.17,13.66,1.25,11.21,5.91,1.09,0.69,0.94,2.54,12,0.34,0.16,0.71,2.11,1.17,1.22,90,90,90,10.14,10.14,10.14,1044.07,216,9.58,1.38,0.75,1.16,0.23,0.02,1.5,3,2.67,-1,1.69,2.62,1.58,2.66,1.82,1.76,0.67,2.06,1.55,1.17,0.82
20.2,48.49,2.19,3.78,2.48,12.05,1.44,12.3,5.08,1.09,0.68,0.88,2.51,10,0.33,0.12,0.83,1.9,1.23,0.98,90,90,90,9.9,9.9,9.9,969.71,216,9.47,0.96,0.68,0.5,0.36,0.02,2,3,3.5,-1,1.75,2.58,1.58,2.58,1.75,1.7,0.67,1.7,1.47,1.1,0.537
20.12,46.95,2.13,3.84,2.37,13.48,1.58,11.87,6.44,1.02,0.71,0.89,2.52,10.67,0.33,0.12,0.74,2.08,1.15,1.13,90,90,90,9.95,9.95,9.95,985.97,216,9.76,0.98,0.68,0.5,0.43,0.02,2,3,3.5,-1,1.75,2.58,1.58,2.58,1.76,1.7,0.67,1.7,1.48,1.11,1.133
