"1%蠕变应变的时间/时间","_id","Al","B","C","Co","Cr","Hf","La","Mn","Mo","Nb","Ni","Re","Ru","Si","Ta","Ti","W","Zr","力学性能/蠕变极限","固溶热处理/加热时间","固溶热处理/加热温度","固溶热处理/升温速度","固溶热处理/炉冷时间","固溶热处理/炉冷温度","固溶热处理/第一次保温时间","固溶热处理/第一次保温温度","固溶热处理/第三次保温时间","固溶热处理/第三次保温温度","固溶热处理/第二次保温时间","固溶热处理/第二次保温温度","固溶热处理/第四次保温时间","固溶热处理/第四次保温温度","备注","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/低温时效温度","时效/高温时效温度","材料牌号","第1步热处理/时间","第1步热处理/温度","第2步热处理/时间","第2步热处理/温度","第2步热处理/空冷","蠕变测试/Larson-Miller参数","蠕变测试/变形量","蠕变测试/时间","蠕变测试/测试温度","蠕变测试/温度","高温低应力蠕变极限测试/Larson-Miller参数"
"28.61h","ObjectId(""5b4ccb9fe6b1a819a85d6a21"")","6.0",,,"8.0","3.0","0.1",,,"2.5",,"balance","6.2","5.0",,"6.5","0.25","2.9",,"376.92MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-5",,,,,,,,,,,
"29.63h","ObjectId(""5b4ccba4e6b1a819a85d6a23"")","6.0",,,"8.0","3.0","0.1",,,"5.0",,"balance","6.2","5.0",,"6.5","0.25","4.8",,"250.680MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-8",,,,,,,,,,,
"21.94h","ObjectId(""5b4ccba8e6b1a819a85d6a25"")","6.0",,,"8.0","3.0","0.1",,,"2.5",,"balance","6.2","5.0",,"6.5","0.25","2.9",,"865.61MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-5",,,,,,,,,,,
"20.80h","ObjectId(""5b4ccbade6b1a819a85d6a27"")","6.0",,,"8.0","3.0","0.1",,,"2.5",,"balance","6.2","5.0",,"6.5","0.25","2.9",,"898.19MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-5",,,,,,,,,,,
"30.01h","ObjectId(""5b4ccbb2e6b1a819a85d6a29"")","6.0",,,"3.0","3.0","0.1",,,"2.5",,"balance","6.2","5.0",,"6.5","0.25","2.9",,"250.68MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-7",,,,,,,,,,,
"29.26h","ObjectId(""5b4ccbb7e6b1a819a85d6a2b"")","6.0",,,"3.0","3.0","0.1",,,"2.5",,"balance","6.2","5.0",,"6.5","0.25","4.8",,"376.920MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-6",,,,,,,,,,,
"31.41h","ObjectId(""5b4ccbbce6b1a819a85d6a2d"")","6.0",,,"3.0","3.0","0.1",,,"2.5",,"balance","6.2","5.0",,"6.5","0.25","4.8",,"238.460MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-6",,,,,,,,,,,
"28.99h","ObjectId(""5b4ccbc1e6b1a819a85d6a2f"")","6.0",,,"3.0","3.0","0.1",,,"2.5",,"balance","6.2","5.0",,"6.5","0.25","2.9",,"389.14MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-7",,,,,,,,,,,
"23.56h","ObjectId(""5b4ccbc5e6b1a819a85d6a31"")","6.0",,,"3.0","3.0","0.1",,,"2.5",,"balance","6.2","5.0",,"6.5","0.25","2.9",,"902.26MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-7",,,,,,,,,,,
"30.33h","ObjectId(""5b4ccbdee6b1a819a85d6a3b"")","6.0",,,"8.0","3.0","0.1",,,"2.5",,"balance","6.2","5.0",,"6.5","0.25","2.9",,"250.68MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-5",,,,,,,,,,,
"23.94h","ObjectId(""5b4ccbe3e6b1a819a85d6a3d"")","6.0",,,"3.0","3.0","0.1",,,"2.5",,"balance","6.2","5.0",,"6.5","0.25","2.9",,"877.83MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-7",,,,,,,,,,,
"24.10h","ObjectId(""5b4ccbede6b1a819a85d6a3f"")","6.0",,,"8.0","3.0","0.1",,,"2.5",,"balance","6.2","3.5",,"6.5","0.25","4.8",,"873.76MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-4",,,,,,,,,,,
"22.05h","ObjectId(""5b4ccbf2e6b1a819a85d6a41"")","6.0",,,"8.0","3.0","0.1",,,"2.5",,"balance","6.2","3.5",,"6.5","0.25","4.8",,"906.34MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-4",,,,,,,,,,,
"28.07h","ObjectId(""5b4ccbf6e6b1a819a85d6a43"")","6.0",,,"3.0","3.0","0.1",,,"5.0",,"balance","6.2","3.5",,"6.5","0.25","4.8",,"381.00MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-3",,,,,,,,,,,
"23.89h","ObjectId(""5b4ccbfbe6b1a819a85d6a45"")","6.0",,,"3.0","3.0","0.1",,,"5.0",,"balance","6.2","3.5",,"6.5","0.25","4.8",,"902.26MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-3",,,,,,,,,,,
"26.25h","ObjectId(""5b4ccc00e6b1a819a85d6a47"")","6.0",,,"8.0","3.0","0.3",,,"5.0",,"balance","6.2","3.5",,"6.5","0.25","2.9",,"641.63MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-2",,,,,,,,,,,
"23.72h","ObjectId(""5b4ccc05e6b1a819a85d6a49"")","6.0",,,"8.0","3.0","0.1",,,"5.0",,"balance","6.2","3.5",,"6.5","0.25","2.9",,"902.26MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-2",,,,,,,,,,,
"22.59h","ObjectId(""5b4ccc0ae6b1a819a85d6a4b"")","6.0",,,"8.0","3.0","0.1",,,"2.5",,"balance","6.2","3.5",,"6.5","0.25","4.8",,"869.68MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-4",,,,,,,,,,,
"30.87h","ObjectId(""5b4ccc0fe6b1a819a85d6a4d"")","6.0",,,"8.0","3.0","0.1",,,"2.5",,"balance","6.2","3.5",,"6.5","0.25","4.8",,"246.61MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-4",,,,,,,,,,,
"24.37h","ObjectId(""5b4ccc14e6b1a819a85d6a4f"")","6.0",,,"8.0","3.0","0.2",,,"5.0",,"balance","6.2","3.5",,"6.5","0.25","2.9",,"869.68MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-2",,,,,,,,,,,
"26.63h","ObjectId(""5b4ccc19e6b1a819a85d6a51"")","6.0",,,"8.0","3.0","0.1",,,"2.5",,"balance","6.2","3.5",,"6.5","0.25","4.8",,"637.56MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-4",,,,,,,,,,,
"26.95h","ObjectId(""5b4ccc1ee6b1a819a85d6a53"")","6.0",,,"8.0","3.0","0.1",,,"2.5",,"balance","6.2","3.5",,"6.5","0.25","4.8",,"617.20MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-4",,,,,,,,,,,
"24.86h","ObjectId(""5b4ccc22e6b1a819a85d6a55"")","6.0",,,"3.0","3.0","0.1",,,"5.0",,"balance","6.2","3.5",,"6.5","0.25","4.8",,"869.68MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-3",,,,,,,,,,,
"26.63h","ObjectId(""5b4ccc27e6b1a819a85d6a57"")","6.0",,,"8.0","3.0","0.4",,,"5.0",,"balance","6.2","3.5",,"6.5","0.25","2.9",,"613.12MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-2",,,,,,,,,,,
"26.14h","ObjectId(""5b4ccc2ce6b1a819a85d6a59"")","6.0",,,"3.0","3.0","0.1",,,"5.0",,"balance","6.2","3.5",,"6.5","0.25","4.8",,"621.27MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-3",,,,,,,,,,,
"28.39h","ObjectId(""5b4ccc31e6b1a819a85d6a5b"")","6.0",,,"8.0","3.0","0.1",,,"2.5",,"balance","6.2","3.5",,"6.5","0.25","4.8",,"381.00MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-4",,,,,,,,,,,
"22.48h","ObjectId(""5b4ccc3be6b1a819a85d6a5d"")","6.0",,,"3.0","3.0","0.1",,,"2.5",,"balance","6.2","3.5",,"6.5","0.25","2.9",,"902.26MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-1",,,,,,,,,,,
"26.57h","ObjectId(""5b4ccc5de6b1a819a85d6a6b"")","6.0",,,"3.0","3.0","0.1",,,"2.5",,"balance","6.2","3.5",,"6.5","0.25","2.9",,"641.63MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-1",,,,,,,,,,,
"26.79h","ObjectId(""5b4ccc62e6b1a819a85d6a6d"")","6.0",,,"3.0","3.0","0.1",,,"2.5",,"balance","6.2","3.5",,"6.5","0.25","2.9",,"617.20MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-1",,,,,,,,,,,
"22.97h","ObjectId(""5b4ccc70e6b1a819a85d6a73"")","6.0",,,"3.0","3.0","0.1",,,"2.5",,"balance","6.2","3.5",,"6.5","0.25","2.9",,"873.76MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-1",,,,,,,,,,,
"29.74h","ObjectId(""5b4ccc7fe6b1a819a85d6a79"")","6.0",,,"3.0","3.0","0.1",,,"2.5",,"balance","6.2","3.5",,"6.5","0.25","2.9",,"246.61MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-1",,,,,,,,,,,
,"ObjectId(""5b4cffb4e6b1a819a85d7df1"")","3",,"1.5","59.46wt.%","5",,,,,,"0.04","12",,,"4","5","10",,"621Mpa","0.5h","1200℃","20℃/min","4h","1308℃","1h","1293℃","2h","1299℃","1h","1296℃","1h","1302℃","","Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09","704℃",,"PWA 1480+",,,,,,,,,"815℃",,
,"ObjectId(""5b4cffbde6b1a819a85d7df5"")","3",,"1.5","59.46wt.%","5",,,,,,"0.04","12",,,"4","5","10",,"862Mpa","0.5h","1200℃","20℃/min","4h","1308℃","1h","1293℃","2h","1299℃","1h","1296℃","1h","1302℃","","Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09",,"871℃","PWA 1480+",,,,,,,,,"700℃",,
,"ObjectId(""5b4cffc7e6b1a819a85d7df9"")","3",,"1.5","59.46wt.%","5",,,,,,"0.04","12",,,"4","5","10",,"862Mpa","0.5h","1200℃","20℃/min","4h","1308℃","1h","1293℃","2h","1299℃","1h","1296℃","1h","1302℃","","Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09","704℃",,"PWA 1480+",,,,,,,,,"700℃",,
,"ObjectId(""5b4cffcce6b1a819a85d7dfb"")","3",,"1.5","59.46wt.%","5",,,,,,"0.04","12",,,"4","5","10",,"621Mpa","0.5h","1200℃","20℃/min","4h","1308℃","1h","1293℃","2h","1299℃","1h","1296℃","1h","1302℃","","Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09",,"871℃","PWA 1480+",,,,,,,,,"815℃",,
,"ObjectId(""5b4cffdbe6b1a819a85d7e01"")","3",,"0.1","59.28wt.%","10","5.6",,,"5",,"0.02","9",,,"6",,"2",,"621Mpa","0.5h","1200℃","20℃/min","10h","1338℃","1h","1325℃",,,"1h","1332℃",,,"","Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09","704℃",,"PWA 1484",,,,,,,,,"815℃",,
,"ObjectId(""5b4cffe0e6b1a819a85d7e03"")","3",,"0.1","59.28wt.%","10","5.6",,,"5",,"0.02","9",,,"6",,"2",,"621Mpa","0.5h","1200℃","20℃/min","10h","1338℃","1h","1325℃",,,"1h","1332℃",,,"","Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09",,"871℃","PWA 1484",,,,,,,,,"815℃",,
,"ObjectId(""5b4cffe5e6b1a819a85d7e05"")","3",,"0.1","59.28wt.%","10","5.6",,,"5",,"0.02","9",,,"6",,"2",,"862Mpa","0.5h","1200℃","20℃/min","10h","1338℃","1h","1325℃",,,"1h","1332℃",,,"","Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09",,"871℃","PWA 1484",,,,,,,,,"700℃",,
,"ObjectId(""5b4cfff3e6b1a819a85d7e0b"")","3",,"0.1","59.28wt.%","10","5.6",,,"5",,"0.02","9",,,"6",,"2",,"862Mpa","0.5h","1200℃","20℃/min","10h","1338℃","1h","1325℃",,,"1h","1332℃",,,"","Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09","704℃",,"PWA 1484",,,,,,,,,"700℃",,
,"ObjectId(""5b4d0011e6b1a819a85d7e15"")","12",,"1.5","62.46wt.%","5",,,,,,"0.04",,,,"4","5","10",,"621Mpa","0.5h","1200℃","20℃/min","10h","1302℃","1h","1295℃",,,"1h","1299℃",,,"","Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09","704℃",,"PWA 1480",,,,,,,,,"815℃",,
,"ObjectId(""5b4d0020e6b1a819a85d7e1b"")","12",,"1.5","62.46wt.%","5",,,,,,"0.04",,,,"4","5","10",,"862Mpa","0.5h","1200℃","20℃/min","10h","1302℃","1h","1295℃",,,"1h","1299℃",,,"","Wilson B C, Fuchs G E. The Effect of Composition, Misfit, and Heat Treatment on the Primary Creep Behavior of Single Crystal Nickel Base Superalloys PWA 1480 and PWA 1484[C]// Superalloys. 2008:149-158.","10.11961/mater0203.MGI.20171221.ds.0054","尹海清","摘录","史政涛","2018-01-09","704℃",,"PWA 1480",,,,,,,,,"700℃",,
