"_id","Al","B","C","Co","Cr","Fe","Hf","Mo","Nb","Ni","Ta","Ti","W","Zr","力学性能/屈服强度","力学性能/极限拉伸强度","力学性能/纵向延伸率","单峰晶粒分布热处理/MA","双峰晶粒分布热处理/DB","固溶/固溶温度","固溶/试样厚度","固溶处理油淬/时间","固溶处理油淬/温度","均匀化处理/时间","均匀化处理/温度","备注","拉伸测试/气氛","拉伸测试/气氛压强","拉伸测试/温度","拉伸试验/弹性模量","拉伸试验/晶粒取向（距[001]面）","拉伸试验/晶粒取向（距[011]面）","拉伸试验/温度","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/时效时间","时效/时效温度","时效处理/时效时间","时效处理/时效温度","时效处理/时间","时效处理/温度","时效处理空冷/时间","时效处理空冷/温度","材料牌号","热处理(氩气氛冷却)/烧结时间","热处理(氩气氛冷却)/烧结温度","热等静压/压强","热等静压/时间","热等静压/温度","热等静压/直径","第一次轧制/温度","第二次轧制/温度","锻造/试样厚度","锻造/锻造厚度减少量","锻造（空冷）/锻造温度"
"ObjectId(""5b4d2612e6b1a819a85d8c8f"")",,,,,,,,,,,,,,,,,"18.4%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,"42%","2050℃"
"ObjectId(""5b4d2617e6b1a819a85d8c91"")",,,,,,,,,,,,,,,,,"12.3%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,,"41%","2000℃"
"ObjectId(""5b4d9fa0e6b1a815d464fa94"")","1.42","0.003","0.027wt.%","13.1","19.7",,,"4.04",,"balance",,"3.09",,"0.06",,,"29.1627%",,,,,"4h","1024℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4d9fa5e6b1a815d464fa96"")","1.37","0.002","0.025wt.%","7.8","19.6",,,"3.99",,"balance",,"3.04",,"0.06",,,"20.2405%",,,,,"4h","1024℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4d9faae6b1a815d464fa98"")","1.32","0.003","0.035wt.%","10","19.4",,,"4.02",,"balance",,"3.05",,"0.06",,,"25.2104%",,,,,"4h","1024℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4d9fcce6b1a815d464faa6"")","1.42","0.003","0.027wt.%","13.1","19.7",,,"4.04",,"balance",,"3.09",,"0.06",,,"24.5056%",,,,,"4h","1016℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4d9fd1e6b1a815d464faa8"")","1.35","0.004","0.031wt.%","12.4","19.4",,,"4.05",,"balance",,"3.07",,"0.06",,,"26.046%",,,,,"4h","1024℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4d9fdbe6b1a815d464faaa"")","1.32","0.003","0.035wt.%","10","19.4",,,"4.02",,"balance",,"3.05",,"0.06",,,"26.8526%",,,,,"4h","1010℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4d9fe0e6b1a815d464faac"")","1.33","0.003","0.036wt.%","8.1","19.3",,,"3.99",,"balance",,"3.01",,"0.06",,,"28.5961%",,,,,"4h","1010℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4d9fe4e6b1a815d464faae"")","1.36","0.001","0.038wt.%","3.6","19.5",,,"3.93",,"balance",,"3.02",,"0.06",,,"29.4789%",,,,,"4h","1010℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4d9feae6b1a815d464fab0"")","1.37","0.002","0.025wt.%","7.8","19.6",,,"3.99",,"balance",,"3.04",,"0.06",,,"22.7061%",,,,,"4h","1010℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4d9fefe6b1a815d464fab2"")","1.35","0.004","0.031wt.%","12.4","19.4",,,"4.05",,"balance",,"3.07",,"0.06",,,"23.3065%",,,,,"4h","1010℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4d9ff3e6b1a815d464fab4"")","1.33","0.003","0.036wt.%","8.1","19.3",,,"3.99",,"balance",,"3.01",,"0.06",,,"26.1305%",,,,,"4h","1010℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4d9ff8e6b1a815d464fab6"")","1.42","0.003","0.027wt.%","13.1","19.7",,,"4.04",,"balance",,"3.09",,"0.06",,,"22.9988%",,,,,"4h","1010℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4d9ffde6b1a815d464fab8"")","1.35","0.004","0.031wt.%","12.4","19.4",,,"4.05",,"balance",,"3.07",,"0.06",,,"21.1134%",,,,,"4h","1016℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da002e6b1a815d464faba"")","1.33","0.003","0.036wt.%","8.1","19.3",,,"3.99",,"balance",,"3.01",,"0.06",,,"24.7607%",,,,,"4h","1016℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da007e6b1a815d464fabc"")","1.32","0.003","0.035wt.%","10","19.4",,,"4.02",,"balance",,"3.05",,"0.06",,,"25.4829%",,,,,"4h","1010℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da00ce6b1a815d464fabe"")","1.34","0.003","0.033wt.%","5.8","18.9",,,"3.92",,"balance",,"2.94",,"0.06",,,"26.0918%",,,,,"4h","1010℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da011e6b1a815d464fac0"")","1.42","0.003","0.027wt.%","13.1","19.7",,,"4.04",,"balance",,"3.09",,"0.06",,,"26.0123%",,,,,"4h","1010℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da016e6b1a815d464fac2"")","1.32","0.003","0.035wt.%","10","19.4",,,"4.02",,"balance",,"3.05",,"0.06",,,"23.5667%",,,,,"4h","1016℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da01be6b1a815d464fac4"")","1.35","0.004","0.031wt.%","12.4","19.4",,,"4.05",,"balance",,"3.07",,"0.06",,,"27.8267%",,,,,"4h","1010℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da020e6b1a815d464fac6"")","1.42","0.003","0.027wt.%","13.1","19.7",,,"4.04",,"balance",,"3.09",,"0.06",,,"27.3821%",,,,,"4h","1010℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da02ae6b1a815d464fac8"")","1.37","0.001","0.028wt.%","0.01","19.5",,,"3.9",,"balance",,"3.02",,"0.06",,,"28.3072%",,,,,"4h","1010℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da02fe6b1a815d464faca"")","1.35","0.004","0.036wt.%","13.2","19.4",,,"4.05",,"balance",,"3.07",,"0.06",,,"24.732%",,,,,"4h","1010℃","24h","1190℃","",,,"538℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da034e6b1a815d464facc"")","1.35","0.004","0.031wt.%","12.4","19.4",,,"4.05",,"balance",,"3.07",,"0.06",,,"24.7524%",,,,,"4h","1010℃","24h","1190℃","",,,"538℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da039e6b1a815d464face"")","1.37","0.002","0.025wt.%","7.8","19.6",,,"3.99",,"balance",,"3.04",,"0.06",,,"24.3356%",,,,,"4h","1010℃","24h","1190℃","",,,"538℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da03de6b1a815d464fad0"")","1.35","0.004","0.031wt.%","12.4","19.4",,,"4.05",,"balance",,"3.07",,"0.06",,,"22.9646%",,,,,"4h","1010℃","24h","1190℃","",,,"538℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da042e6b1a815d464fad2"")","1.35","0.004","0.036wt.%","13.2","19.4",,,"4.05",,"balance",,"3.07",,"0.06",,,"22.6702%",,,,,"4h","1010℃","24h","1190℃","",,,"538℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da047e6b1a815d464fad4"")","1.37","0.002","0.025wt.%","7.8","19.6",,,"3.99",,"balance",,"3.04",,"0.06",,,"23.2359%",,,,,"4h","1010℃","24h","1190℃","",,,"538℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da04ce6b1a815d464fad6"")","1.37","0.001","0.026wt.%","3.5","19.6",,,"3.93",,"balance",,"3",,"0.06",,,"26.1915%",,,,,"4h","1010℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da051e6b1a815d464fad8"")","1.34","0.003","0.033wt.%","5.8","18.9",,,"3.92",,"balance",,"2.94",,"0.06",,,"24.6699%",,,,,"4h","1010℃","24h","1190℃","",,,"538℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da056e6b1a815d464fada"")","1.34","0.003","0.033wt.%","5.8","18.9",,,"3.92",,"balance",,"2.94",,"0.06",,,"19.9973%",,,,,"4h","1010℃","24h","1190℃","",,,"538℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da05be6b1a815d464fadc"")","1.36","0.001","0.038wt.%","3.6","19.5",,,"3.93",,"balance",,"3.02",,"0.06",,,"23.2209%",,,,,"4h","1010℃","24h","1190℃","",,,"538℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da060e6b1a815d464fade"")","1.32","0.003","0.035wt.%","10","19.4",,,"4.02",,"balance",,"3.05",,"0.06",,,"22.9034%",,,,,"4h","1010℃","24h","1190℃","",,,"538℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da065e6b1a815d464fae0"")","1.36","0.001","0.038wt.%","3.6","19.5",,,"3.93",,"balance",,"3.02",,"0.06",,,"22.3961%",,,,,"4h","1010℃","24h","1190℃","",,,"538℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da06ae6b1a815d464fae2"")","1.32","0.003","0.035wt.%","10","19.4",,,"4.02",,"balance",,"3.05",,"0.06",,,"24.826%",,,,,"4h","1010℃","24h","1190℃","",,,"538℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da06fe6b1a815d464fae4"")","1.34","0.001","0.035wt.%","1.3","19.2",,,"3.95",,"balance",,"3.01",,"0.06",,,"26.5637%",,,,,"4h","1010℃","24h","1190℃","",,,"20℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da078e6b1a815d464fae6"")","1.37","0.001","0.028wt.%","0.01","19.5",,,"3.9",,"balance",,"3.02",,"0.06",,,"21.4136%",,,,,"4h","1010℃","24h","1190℃","",,,"538℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da09be6b1a815d464faf4"")","1.34","0.001","0.035wt.%","1.3","19.2",,,"3.95",,"balance",,"3.01",,"0.06",,,"25.202%",,,,,"4h","1010℃","24h","1190℃","",,,"538℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da0aae6b1a815d464fafa"")","1.37","0.001","0.028wt.%","0.01","19.5",,,"3.9",,"balance",,"3.02",,"0.06",,,"25.2623%",,,,,"4h","1010℃","24h","1190℃","",,,"538℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4da0b4e6b1a815d464fafe"")","1.34","0.001","0.035wt.%","1.3","19.2",,,"3.95",,"balance",,"3.01",,"0.06",,,"23.6891%",,,,,"4h","1010℃","24h","1190℃","",,,"538℃",,,,,"Maurer G E, Jackman L A, Domingue J A. ROLE OF COBALT IN WASPALOY[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0001","尹海清","摘录","邓正华","2018-01-08",,,,,"4h","847℃","16h","760℃","Waspaloy",,,,,,,"1150℃","1093℃",,,
"ObjectId(""5b4deed0e6b1a80d7cf47130"")","4",,,,"8","25 (wt.%)",,"3","1.5","Bal.",,"4",,,"1115MPa","1195MPa","7.0%",,"未报道",,,,,,,"","H2","10MPa","300K",,,,,"Development of a Hydrogen Resistant Superalloy for Single Crystal Blade Application in Rocket Engine Turbopumps, Superalloys, 1996: 53-60.","","尹海清","摘录","张聪","2017-04-07",,,,,,,,,"THYMONEL 8",,,,,,,,,,,
"ObjectId(""5b4deed5e6b1a80d7cf47132"")","4",,,,"8","25 (wt.%)",,"3","1.5","Bal.",,"4",,,"1239MPa","1293MPa","4.7%","未报道",,,,,,,,"","H2","10MPa","300K",,,,,"Development of a Hydrogen Resistant Superalloy for Single Crystal Blade Application in Rocket Engine Turbopumps, Superalloys, 1996: 53-60.","","尹海清","摘录","张聪","2017-04-07",,,,,,,,,"THYMONEL 8",,,,,,,,,,,
"ObjectId(""5b4deedae6b1a80d7cf47134"")","4",,,,"8","25 (wt.%)",,"3","1.5","Bal.",,"4",,,"1211MPa","1271MPa","5.1%","未报道",,,,,,,,"","空气",,"300K",,,,,"Development of a Hydrogen Resistant Superalloy for Single Crystal Blade Application in Rocket Engine Turbopumps, Superalloys, 1996: 53-60.","","尹海清","摘录","张聪","2017-04-07",,,,,,,,,"THYMONEL 8",,,,,,,,,,,
"ObjectId(""5b4deee3e6b1a80d7cf47138"")","4",,,,"8","25 (wt.%)",,"3","1.5","Bal.",,"4",,,"1072MPa","1156MPa","8.0%",,"未报道",,,,,,,"","空气",,"300K",,,,,"Development of a Hydrogen Resistant Superalloy for Single Crystal Blade Application in Rocket Engine Turbopumps, Superalloys, 1996: 53-60.","","尹海清","摘录","张聪","2017-04-07",,,,,,,,,"THYMONEL 8",,,,,,,,,,,
"ObjectId(""5b4def06e6b1a80d7cf47146"")","4",,,,"8","25 (wt.%)",,"3","1.5","Bal.",,"4",,,"1090MPa","1135MPa","8.0%",,"未报道",,,,,,,"","H2","10MPa","300K",,,,,"Development of a Hydrogen Resistant Superalloy for Single Crystal Blade Application in Rocket Engine Turbopumps, Superalloys, 1996: 53-60.","","尹海清","摘录","张聪","2017-04-07",,,,,,,,,"THYMONEL 8",,,,,,,,,,,
"ObjectId(""5b4def0be6b1a80d7cf47148"")","4",,,,"8","25 (wt.%)",,"3","1.5","Bal.",,"4",,,"1182MPa","1249MPa","5.4%","未报道",,,,,,,,"","H2","10MPa","300K",,,,,"Development of a Hydrogen Resistant Superalloy for Single Crystal Blade Application in Rocket Engine Turbopumps, Superalloys, 1996: 53-60.","","尹海清","摘录","张聪","2017-04-07",,,,,,,,,"THYMONEL 8",,,,,,,,,,,
"ObjectId(""5b4def32e6b1a80d7cf47156"")","4",,,,"8","25 (wt.%)",,"3","1.5","Bal.",,"4",,,"1250MPa","1320MPa","5.4%","未报道",,,,,,,,"","空气",,"300K",,,,,"Development of a Hydrogen Resistant Superalloy for Single Crystal Blade Application in Rocket Engine Turbopumps, Superalloys, 1996: 53-60.","","尹海清","摘录","张聪","2017-04-07",,,,,,,,,"THYMONEL 8",,,,,,,,,,,
