"_id","Al","B","C","Co","Cr","Hf","Mo","Ni","Re","Ta","Ti","W","Zr","力学性能/断裂应力","备注","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","材料牌号","热处理1/时间","热处理1/温度","热处理2/时间","热处理2/温度","热处理3/时间","热处理3/温度","蠕变测试/时间","蠕变测试/温度"
"ObjectId(""5b4ca912e6b1a81674aabd31"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","11.311Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1998.4oF"
"ObjectId(""5b4ca917e6b1a81674aabd33"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","16.28Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1936.22oF"
"ObjectId(""5b4ca920e6b1a81674aabd37"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","15.2818Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1954.01oF"
"ObjectId(""5b4ca925e6b1a81674aabd39"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","20.2435Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1900.76oF"
"ObjectId(""5b4ca934e6b1a81674aabd3f"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","18.2617Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1918.49oF"
"ObjectId(""5b4ca943e6b1a81674aabd45"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","13.2982Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1973.98oF"
"ObjectId(""5b4ca94ce6b1a81674aabd47"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","22.2325Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1874.1oF"
"ObjectId(""5b4ca951e6b1a81674aabd49"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","63.7651Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1604.3oF"
"ObjectId(""5b4ca956e6b1a81674aabd4b"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","31.6458Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1789.87oF"
"ObjectId(""5b4ca95be6b1a81674aabd4d"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","26.2033Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1829.71oF"
"ObjectId(""5b4ca960e6b1a81674aabd4f"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","29.1705Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1809.81oF"
"ObjectId(""5b4ca965e6b1a81674aabd51"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","41.5363Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1723.51oF"
"ObjectId(""5b4ca96ae6b1a81674aabd53"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","56.851Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1639.6oF"
"ObjectId(""5b4ca96fe6b1a81674aabd55"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","68.6976Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1586.73oF"
"ObjectId(""5b4ca973e6b1a81674aabd57"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","47.966Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1679.25oF"
"ObjectId(""5b4ca978e6b1a81674aabd59"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","38.5673Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1745.65oF"
"ObjectId(""5b4ca97de6b1a81674aabd5b"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","44.997Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1701.39oF"
"ObjectId(""5b4ca982e6b1a81674aabd5d"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","51.9167Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1659.4oF"
"ObjectId(""5b4ca987e6b1a81674aabd5f"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","23.2325Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1854.08oF"
"ObjectId(""5b4ca98ce6b1a81674aabd61"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","34.123Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1767.7oF"
"ObjectId(""5b4ca991e6b1a81674aabd63"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","60.7998Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1621.98oF"
"ObjectId(""5b4ca99be6b1a81674aabd65"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","107.168Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1452.82oF"
"ObjectId(""5b4ca9a0e6b1a81674aabd67"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","82.0214Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1531.71oF"
"ObjectId(""5b4ca9a5e6b1a81674aabd69"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","112.095Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PW1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1441.94oF"
"ObjectId(""5b4ca9aae6b1a81674aabd6b"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","13.3Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1971.75oF"
"ObjectId(""5b4ca9afe6b1a81674aabd6d"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","89.4182Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1507.59oF"
"ObjectId(""5b4ca9b4e6b1a81674aabd6f"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","72.6483Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1566.88oF"
"ObjectId(""5b4ca9b8e6b1a81674aabd71"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","101.746Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1468.13oF"
"ObjectId(""5b4ca9bde6b1a81674aabd73"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","16.7736Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1934.02oF"
"ObjectId(""5b4ca9c2e6b1a81674aabd75"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","14.79Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1953.98oF"
"ObjectId(""5b4ca9c7e6b1a81674aabd77"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","11.8064Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1993.97oF"
"ObjectId(""5b4ca9cce6b1a81674aabd79"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","77.0908Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1547.05oF"
"ObjectId(""5b4ca9d1e6b1a81674aabd7b"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","93.8552Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1494.45oF"
"ObjectId(""5b4ca9d6e6b1a81674aabd7d"")","5","0","0","5","10wt.%","0","0","Balance","0","12","1.5","4","0","97.3104Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1480","4h","2240oF","4h","1975oF","12h","1600oF","300h","1479.03oF"
