"_id","Al","Co","Cr","Fe","Mo","Nb+Ta","Ni","Ti","力学性能/疲劳强度折减系数","备注","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","材料牌号","疲劳测试/应力比","疲劳测试/温度","疲劳测试/疲劳寿命","第一次热处理/温度","第一次热处理后炉冷/时间","第二次热处理/升温速率","第二次热处理/温度","第二次热处理后空冷/时间"
"ObjectId(""5b4cb40be6b1a819a85d611f"")",,,,,,,,,"269.568Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","4399.67次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb410e6b1a819a85d6121"")",,,,,,,,,"279.686Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","3128.36次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb415e6b1a819a85d6123"")",,,,,,,,,"282.205Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","2763.84次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb41ae6b1a819a85d6125"")",,,,,,,,,"277.168Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","3540.95次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb41fe6b1a819a85d6127"")",,,,,,,,,"263.254Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","5637.48次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb424e6b1a819a85d6129"")",,,,,,,,,"289.813Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","2294.22次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb429e6b1a819a85d612b"")",,,,,,,,,"259.45Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","6187.62次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb42ee6b1a819a85d612d"")",,,,,,,,,"251.859Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","7929.5次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb433e6b1a819a85d612f"")",,,,,,,,,"272.096Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","4009.02次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb438e6b1a819a85d6131"")",,,,,,,,,"286.009Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","2518.1次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb43de6b1a819a85d6133"")",,,,,,,,,"265.773Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","4980.6次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb441e6b1a819a85d6135"")",,,,,,,,,"248.055Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","8703.32次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb446e6b1a819a85d6137"")",,,,,,,,,"254.395Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","7452.24次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb450e6b1a819a85d6139"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","202.639Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","61285次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb455e6b1a819a85d613b"")",,,,,,,,,"299.923Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","1581.64次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb45ae6b1a819a85d613d"")",,,,,,,,,"292.341Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","2090.52次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb45fe6b1a819a85d613f"")",,,,,,,,,"320.159Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","799.653次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb464e6b1a819a85d6141"")",,,,,,,,,"307.522Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","1272.94次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb469e6b1a819a85d6143"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","197.635Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","88848.9次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb46ee6b1a819a85d6145"")",,,,,,,,,"316.364Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","905.238次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb472e6b1a819a85d6147"")",,,,,,,,,"331.563Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","586.358次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb477e6b1a819a85d6149"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","200.146Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","76107.2次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb47ce6b1a819a85d614b"")",,,,,,,,,"294.868Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","1904.9次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb481e6b1a819a85d614d"")",,,,,,,,,"303.727Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","1441.02次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb486e6b1a819a85d614f"")",,,,,,,,,"311.318Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","1124.47次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb48be6b1a819a85d6151"")",,,,,,,,,"313.845Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","1024.63次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb490e6b1a819a85d6153"")",,,,,,,,,"297.395Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","1735.76次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb495e6b1a819a85d6155"")",,,,,,,,,"326.508Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","Super Waspaloy","0.05","800℃","706.198次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb49ee6b1a819a85d6157"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","226.499Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","14751.5次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb4a3e6b1a819a85d6159"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","236.6Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","9860.26次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb4a8e6b1a819a85d615b"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","246.727Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","7231.15次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb4ade6b1a819a85d615d"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","241.672Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","8709.04次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb4b2e6b1a819a85d615f"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","261.909Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","4403.14次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb4b7e6b1a819a85d6161"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","266.972Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","3770.7次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb4bce6b1a819a85d6163"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","231.537Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","11514.1次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb4c2e6b1a819a85d6165"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","216.373Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","20114.9次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb4c7e6b1a819a85d6167"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","251.791Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","6192.51次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb4cce6b1a819a85d6169"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","256.837Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","4985.18次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb4d0e6b1a819a85d616b"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","208.885Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","37351.7次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb4d5e6b1a819a85d616d"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","212.603Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","24983.1次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb4dae6b1a819a85d616f"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","210.11Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","31025.4次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb4dfe6b1a819a85d6171"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","205.123Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","47847.7次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb4e4e6b1a819a85d6173"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","220.159Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","17228次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb4eee6b1a819a85d6175"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","308.713Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","934.389次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb4f3e6b1a819a85d6177"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","275.805Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","2599.88次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb4f7e6b1a819a85d6179"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","303.641Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","1057.9次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb4fce6b1a819a85d617b"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","299.854Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","1235.18次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb506e6b1a819a85d617f"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","322.635Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","605.32次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb50be6b1a819a85d6181"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","272.027Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","3130.83次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb510e6b1a819a85d6183"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","290.987Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","1583.1次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb515e6b1a819a85d6185"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","282.154Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","2296.03次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb51ae6b1a819a85d6187"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","312.5Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","800.284次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb524e6b1a819a85d618b"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","294.782Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","1398.45次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb528e6b1a819a85d618d"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","327.699Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","518.376次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb52de6b1a819a85d618f"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","317.572Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","706.848次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4cb532e6b1a819a85d6191"")","0.52","0.49","17.65","Balance","2.90","5.41","52.65wt.%","0.99","288.468Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","DP718","0.05","800℃","1791.9次","1325oF","8h","100oF","1150oF","8h"
