"_id","Al","B","C","Co","Cr","Hf","Mo","Ni","Re","Ta","Ti","W","Zr","力学性能/横向延伸率","备注","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","材料牌号","热处理1/时间","热处理1/温度","热处理2/时间","热处理2/温度","热处理3/时间","热处理3/温度","蠕变测试/体积分数(γ΄)","蠕变测试/温度"
"ObjectId(""5b4cab77e6b1a81674aabe19"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","1.10601%","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","94.8251%","1400oF"
"ObjectId(""5b4cab7ce6b1a81674aabe1b"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","2.22295%","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","94.7869%","1400oF"
"ObjectId(""5b4cab95e6b1a81674aabe25"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","2.59526%","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","94.7741%","1400oF"
"ObjectId(""5b4caba3e6b1a81674aabe2b"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","0.919854%","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","94.8315%","1400oF"
"ObjectId(""5b4cabade6b1a81674aabe2f"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","1.63789%","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","94.8069%","1400oF"
"ObjectId(""5b4cabc6e6b1a81674aabe37"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","3.53224%","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","60.153%","1400oF"
"ObjectId(""5b4cabcae6b1a81674aabe39"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","4.59599%","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","60.1166%","1400oF"
"ObjectId(""5b4cabd4e6b1a81674aabe3d"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","1.46849%","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","90.1894%","1400oF"
"ObjectId(""5b4cabd9e6b1a81674aabe3f"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","2.57486%","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","60.1858%","1400oF"
"ObjectId(""5b4cabe8e6b1a81674aabe45"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","3.00036%","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","60.1712%","1400oF"
"ObjectId(""5b4cabece6b1a81674aabe47"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","4.46302%","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","60.1211%","1400oF"
"ObjectId(""5b4cabf1e6b1a81674aabe49"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","1.84007%","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","89.8342%","1400oF"
"ObjectId(""5b4cabf6e6b1a81674aabe4b"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","2.78761%","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","60.1785%","1400oF"
"ObjectId(""5b4cac00e6b1a81674aabe4f"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","3.87832%","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","60.3124%","1400oF"
"ObjectId(""5b4cac05e6b1a81674aabe51"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","2%","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","90%","1400oF"
"ObjectId(""5b4cac0ae6b1a81674aabe53"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","3.66521%","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","60.1485%","1400oF"
